Volcano Village Lodge,Laurie K,5.0,완벽한 목가적! 광고 한 것처럼. :-),"우리는 Mauna Kea 방에 머물렀다. 그리고 그것은 완전했다! 설정, 전망, 가구, 장식, 객실 디자인 및 재료가 합쳐져 평화 롭고 환영받는 경험을 선사합니다. 추가 사려 깊은, 그러나 의외, 보너스 목 지원 베개의 가용성이었다! Pua는 매력적인 호스트이었다. 그녀는 전화로 우리를 방문하기 전에 일주일 동안 도움이되었고, 직접 만나서 매력적이었습니다. 우리가 운전 지침을 잘못 해석했을 때 그녀는 심지어 우리를 2 마일 정도 운전해서 직진 시켰습니다! 우리는 화산 마을 별장에 머물렀다 니 정말 기쁩니다. 나는 그것을 매우 추천한다!",숙박 날짜: 2019년 2월
Volcano Village Lodge,drndrn,5.0,놀랍고 아름다운 롯지,"우리는 13 명의 86 살의 10 명의 사람의 우리 확장 된 가족과 함께 화산 마을 비밀 결사에 머물렀다. 별장은 절대적으로 마법입니다. 우리는 열대 우림에 4 개의 독립적 인 독립형 스위트를 보유하고 있었으며, 모두 나무로 된 산책로와 조명이 잘 어우러진 통로로 연결되어 있습니다. 각 스위트 룸은 아름답게 장식되어 매우 편안합니다. 냉장고에는 매일 신선한 과일과 집에서 조리 한 아침 식사가 준비되어 있으며, 커피와 차를 선택할 수 있습니다. 우리의 주인 인 푸아 (Pua)는 엄청 따뜻하고 친절했고 환영했습니다. 그녀는 우리 모두가 공동의 지역에서 아침 식사를 할 수 있도록 초대 했으므로 우리 가족은 더 많은 공간을 가질 수있었습니다. 그녀는 믿을 수없는 자원이었고, 지역의 음식점과 먹거리에 대한 제안과 지시를주었습니다. 그녀는 최근의 화산 폭발에 대한 이야기를 나누었고 우리에게도 똑같이 환영하는 가족을 소개했습니다. 우리는 우리 체재의 끝에서 안녕을 말하기 위해 매우 유감스럽게 생각했다! 화산 국립 공원이 단 몇 분 거리에 있습니다. 우리는 공원을 탐험하는 날과 야외 온수 욕조에서의 저녁을 보냈습니다. 우리는 Pua와이 놀라운 여관에 더 만족할 수 없었습니다. 매우 추천하는! !",숙박 날짜: 2019년 1월
Volcano Village Lodge,singaporemarsha,5.0,세계에서 가장 조용한 곳 중 하나,코나 (Kona) 나 힐로 푸아 (Hilo - - Pua)와 같은 하와이 (Hawaii) 마을의 활기가 넘치는 멋진 1 - 2 박 퇴각은 환상적인 호스트입니다. . . 놀라운 그녀의 프렌치 토스트. . . 아름다운 주변 환경. . . 잘 돌봐. . . 조금 비싸더라도 진정한 특별한 장소.,숙박 날짜: 2018년 11월
Volcano Village Lodge,anagbl,1.0,정말 실망했다.,"아마이 호텔은 나머지 사람들의 의견대로 훌륭하지만, 불행히도 나는 결코 여기에 머물지 못했고, 여기에 실망한 이유가 있습니다. 나는 2018 년 5 월에 며칠간 환불되지 않는 예약을 위해 일찍 정말로 예약하고 지불했습니다. Halema 'uma'는 예약이 시작되기 전에 분출을 시작했습니다. 화산 국립 공원이 폐쇄되었습니다. 화산 마을 자체는 결코 닫히지 않았거나 접근 할 수 없었지만, 화산은 낮은 동쪽 갈라진 틈 지대에서 연속적으로 활발한 용암 분출 (실제로 그것들을 불렀을 때)과 함께 정말로 믿기 어려웠습니다. Plenty of Fissures는 매우 활동적이어서 바다로 큰 채널 화 된 흐름을 만들어 해안선을 따라 공중으로 큰 잔잔한 깃털을 보냅니다. 또한 작은 지진. 호텔의 정확한 면적이 대중에게 공개 된 적이 없었 음을 이해합니다. 호텔에서 많은 취소를받은 것으로 알고 있습니다. 나는 나의 예약이 환불되지 않았다는 것도 알고있다. 그러나 내가 이해할 수없는 것은 그들이 내가 하와이를 떠날 계획이라고 말하면서 그들에게 연락했을 때 보여주는 작은 동정이다. 나의 항공사는 우리에게 요청하고있다 / 섬을 떠날 것을 권유하고, 무료로 비행편을 변경한다. 변경을 허용하지 않음). 나는 호텔에 최소한 세금 환불을 요청했다. 우리는 나타나지 않을 것이며 서비스를 제공하지 않을 것이다. . 그러나 그들은 그렇지 않았다. 그들은 1 페니를 환불하지 않았다. 아무것도 지불하지 않은 ""운""이라면 제스처를받는 것이 정말 좋을 것입니다. 나는 내 안전을 위해 섬을 떠나야한다는 느낌이 미치지 않는다고 생각한다.",숙박 날짜: 2018년 5월
Volcano Village Lodge,Surgie,5.0,더 이상 우리의 방문 이 있다!,우리는 이 아름다운 곳이 지 볼케이노 빌리지에 로지. 정말 최고! 방은 아늑하고 (마우나 케아) 을 환영합니다. 우리는 베란다에 사용 한 가운데 열대 우림 - 에서 전까지는 vnp! 우리는 매일 매일의 벽난로 에 만들어진 방. 주인은 정말 친절하고 자세한 내용 후에 도착하는 거라는 6:00 오후. 모든 것이 아주 쉽게. 아침 식사는 맛있었고 왼쪽에 있습니다. 정말 좋은 아침식사와 신선한 커피를 있게 한 방에. 하고 싶고 더 많은 시간을 활용할 수 방에서 사용할 시간이 정원 온수 욕조가 있습니다. 다른 사람들이 아름다운 곳을 추천 합니다.,숙박 날짜: 2017년 9월
B B At the End of the Road Bed   Breakfast,막스갈로,4.0,조용한 화산마을 도로 끝 아담한 B&B,"주한미군으로 한국에서 근무한 적이 있는 주인장 아저씨가 운영하는, 정말 도로 끝에 있는 B&B다. 방이 둘인데, 깔끔하고 아담하다. 마을에서 떨어져 있어서 저녁에는 정말 무섭다는 느낌도 들었다. 가정식 아침식사를 기대했는데 베이글과 커피, 정말 간단한 아침이라서 다소 당황했으나 주인부부의 정성이 보이는 것이라 웃으면서 맛있게 먹었다.",숙박 날짜: 2016년 2월
B B At the End of the Road Bed   Breakfast,Somosmita,5.0,편안함과 환대,바쁜 하루를 보낸 후 아름다운 환경 속에서 휴식을 취하기 좋은 곳. 위대한 환대. 잘 관리 된 객실. 집에서 만든 멋진 음식. 호스트는 매우 친절하고 도움이됩니다. 매우 평화로운 숙박.,숙박 날짜: 2019년 2월
B B At the End of the Road Bed   Breakfast,Russ Jarvis,5.0,평화로운 밤,"코나에서 하루 종일 운전 한 후 쉬는 조용한 장소. 그들의 편안한 집으로 우리를 환영했고, 지방의 레스토랑 옵션을 기술했고, 우리가 화산 국립 공원에서 멋있는 아침 이후 그 다음날 공항에 뒤로 풍경의 길을 발견하는 것을 도왔던 훌륭한 훌륭한 호스트. 우리 주인은 우리에게 채우기 아침 식사를 먹이는 동안 지역 공동체에 관한 우리 질문에 답했다.",숙박 날짜: 2018년 10월
B B At the End of the Road Bed   Breakfast,joseph G,4.0,아주 편안합니다. 평화와 휴식을 좋아하는 사람에게이 곳을 추천합니다.,이 집은 나무와 푸른 색과 분홍색 수국이 피는 거대한 초록의 많은 가운데에 위치해 있습니다. 숙박 시설은 훌륭했습니다 - 매우 깨끗하고 잘 꾸며진 객실. Lani & Ray는 매우 체계적이고 유익했습니다. 거래는 매우 투명했습니다. 경내가 확보되어 있고 집에서 바로 느낄 수 있습니다. 이것은 도시에서 찾을 수있는 모든 소음에서 벗어난 조용하고 고요하고 편안한 곳입니다. 화산 국립 공원 (Volcanoes National Park)은 약 3 마일 떨어져 있습니다.,숙박 날짜: 2018년 10월
B B At the End of the Road Bed   Breakfast,Ruth T,5.0,친절한 주인과 넓고 깨끗하고 쾌적한 객실 - 글루텐 무료 제공,우리는 2 박 남았고 우리가 더 오래 머물길 바랐다. 하와이 화산 국립 공원에는보고 볼거리가 너무 많습니다. Ray와 Lani는 우리가 환영을 받고 집에서 사랑스러운 재산을 갖도록 도왔습니다. 그들은 또한 공원을 방문하기위한 최적의 전략에 대한 훌륭한 조언을 제공했습니다. 나는 글루텐을 무료로 먹었고 라니도 그렇습니다. 그래서 아침 식사를위한 글루텐 자유 선택의 문제는 없었습니다. 우리 방은 넓었고 멋지게 개인의 욕실로 장식되었다. 빅 아일랜드를 방문 할 때 우리는 반드시 돌아올 것입니다.,숙박 날짜: 2018년 2월
Volcano Forest Inn,mjhoug,5.0,귀엽고 편안한 여관,우리가 Hawi에서 화산 국립 공원을 방문하기 위해 운전했을 때 우리는 하룻밤 동안 여기에 머물렀다. 우리는 우리 공간이 얼마나 넓고 멋 졌는지에 관해 유괘하게 놀랐다. 그리고 킹 사이즈 침대는 매우 편안했다. 우리가 여관에서 저녁을 보냈을 정도로 그 지역에서 어둠 후에 할 많은 것이 없습니다. 직원들은 친절하고 유익했습니다. 그 다음날 국립 공원까지의 짧은 운전을하는 것은 멋졌다.,숙박 날짜: 2019년 1월
Volcano Forest Inn,JDW62,5.0,화산에서의 완벽한 체류,"화산 숲 여관은 화산 마을의 조용한 은신처입니다. 넓은 넓은 객실, 데크, 모든 시설, 맛있는 아침 식사 및 훌륭한 직원. 공원까지 차로 가면 Kilauea를 여행하기에 완벽한 장소였습니다. 추천!",숙박 날짜: 2019년 1월
Volcano Forest Inn,aknoble,5.0,"큰 방, 친절한 사람들은 조용한 위치","우리가 지내는 것 & 에 정말 좋아 화산, 이 시간 다른 곳을 가기로 했습니다. 볼케이노 포리스트 인 정말 좋은 선택. 방은 매우 크고 편안하고 할 수 있는 전용 테라스가 있는 거대한 성 그곳들을 내리지 싶어요. 하지만 바로 옆에 우체국 이 일반 상점, 다시 설정 이 면 충분한 지 알 수 있는 포리스트의 마을 서지 좋았어요. 우리는 여전히 으로 걸어 저녁 식사, 손전등을 가지고 확실하게 뒤로 걷기! 직원들은 아주 친절하고 아침 식사는 간단한, 하지만 좋은 아주 푸짐하 다. 공동 테이블이 마음에 들었고, 흥미로운 사람들을 만날 수 있고 저희가 묵는 동안 다른 사람들에 대한 것들을 할 수 있는 기반이 있기 때문에 있다. 꼭 다시 머무르고 싶어요.",숙박 날짜: 2017년 8월
Volcano Forest Inn,Hibby922,5.0,매우 친절하고 매우 깨끗하고 좋은 방,아주 예쁜 바깥에 있는 큰 방은 깨끗했고 침대도 매우 편안했어요. 같은 침대와 아침 식사 입니다. 사람들이 매우 친절했고 아침 식사도 좋았어요. 이 경우에 다시 오고 싶다. 위치가 좋은 아주 근접한 화산 nat 공원 입구,숙박 날짜: 2017년 7월
Volcano Forest Inn,Maryam73_Toronto,5.0,머물기 좋은 곳,제 남편과 저는 우리의 이틀 밤을 묵었는데요. Be 화산 국립 공원 입구에서 몇 분 & 수 있습니다. 방은 넓고 깨끗하고 했습니다. 주인이 친절하고 도움이 되었습니다. 즐거운 시간을 보내고 추천합니다!,숙박 날짜: 2017년 6월
The Guest Cottages at Volcano Acres Tree House,Rodney B,5.0,그레이트 환경,"나무 집 3 층에 묵었습니다. 그것은 열대 우림의 360도 전망을 가지고 있습니다. 차가운 밤에는 가스 벽난로뿐만 아니라 부엌, 이불 좌석 공간, 샤워 시설을 갖춘 욕실이 있습니다. 국립 공원에서 불과 몇 분 거리에 있으며 화산 마을에는 레스토랑과 작은 시장이 있습니다. 멋진 야외 좌석 공간이 있습니다. 우리는이 오두막을 정말로 즐겼고, 언젠가 돌아 오는 것을 좋아할 것이다.",숙박 날짜: 2018년 11월
The Guest Cottages at Volcano Acres Tree House,silenceisgolden_oz,5.0,편안한 숙박을위한 훌륭한 스위트 룸,"3 일간 머물기 완벽한 Pacific Island Studio는 아늑하고 세련되게 하와이를 테마로 꾸며져 있습니다. 우리는 우리들 자신의 식사를 요리하는 것에 우리에게 독립을 줬던 잘 갖추어 진 부엌 시설을 사용했다. 방과 침대는 따뜻했다. 우리가 외부의 날씨가 황량 할지라도 우리는 오랫동안 그것을 가열 할 필요가 없었다. 타월 워머는 좋은 손길이 닿았습니다. 소나기는 '저 흐름'이었으므로 인내심이 조금 필요합니다. 조용한 주변 환경과 나무 고사리의 전망을 즐기기. 자체 체크인 시스템이 잘 작동했습니다. 우리 호스트 인 테레사 (Theresa)는 숙소를 찾는 방법과 방에 접근하는 방법에 대한 명확한 지시를했습니다. 장소의 작은 보석은, 지역을 다시 나중에 방문하는 것이 다시 여기에 머물고 싶어 할 것이다.",숙박 날짜: 2018년 5월
The Guest Cottages at Volcano Acres Tree House,waynen95,5.0,훌륭한 위치,우리는 여기에서 우리의 체류를 즐겼습니다. 소유자는 우리가 머무르는 동안 편안함을 느낄 수 있도록 큰 발전을했습니다. 많은 공간이 있었고 숲속 오두막처럼 느껴졌습니다. 위치는 화산 국립 공원의 용암을 방문하기에 완벽한 장소입니다.,숙박 날짜: 2018년 3월
The Guest Cottages at Volcano Acres Tree House,Thomas M,5.0,화산 지역에 머물기에 좋은 곳,"이 별장에서의 우리 체재는 현저했다! Randy는 빠른 응답으로, 빠른 체크인을위한 우리 요청을 수용하는 것을 포함하는 것을 뒤로 잡기 쉽다. 우리는 멋 졌던 나무 최고의 한 벌을 예약했다! 그것은 풀 사이즈 냉장고, 오븐, 모든 요리 도구, 접시, 컵 등 우리가 필요로하는 모든 것이있었습니다. 침대는 매우 편안했고 전기 벽난로는 추운 밤에 좋은 추가되었습니다. lanai 주위를 감싸고있는 멋진 전망. 이 장소를 강력히 추천하며 빅 아일랜드로의 다음 여행에서 다시 예약 할 계획입니다.",숙박 날짜: 2017년 12월
The Guest Cottages at Volcano Acres Tree House,Mark W,5.0,훌륭한 재산과 훌륭한 위치,"우리는 태평양 섬 스튜디오 방에서 12 월 12 일과 13 일 Treehouse에 머물렀다. 우리는 이전 비평가들의 몇 가지 부정적인 의견에 대해 약간 우려했습니다. 그러나 우리는 Treehouse에서의 경험에 완전히 만족했습니다. 다음은 우리의 의견입니다 : 나무를 찾는 것 : 몇몇 사람들이 지적했듯이, 화산은 매우 시골의 공동체입니다. 가로등이없는 좁은 거리. 어두워지면 우리는 GPS를 사용하여 Treehouse를 찾았습니다. GPS로 큰 실수는 우리가 표적에서 0.25 마일 떨어진 곳으로갔습니다. 우리는 그것을 알아 냈습니다 만, Treehouse를 찾는 가장 좋은 방법은 소유주가 예약 한 후 보내는 이메일의 지침을 따르는 것입니다. 본질은 Hilo에서 Pearl Street (마일 표시 26 직후)의 주요 Highway 11에서 좌회전 한 다음 Eleventh Street로 진행하는 것입니다. 왼쪽으로 돌면 나무 꼭대기가 왼쪽의 두 번째 진입로입니다. Eleventh 거리에는 조명이 들어간 거리 번호와 조명이있는 ""Treehouse""표시가 있지만 두 가지 모두 뒤로 물러나있어 즉시 볼 수 없으므로 천천히 내려보고 조심스럽게 살펴 봅니다. 주차 : 진입로에 진입 한 후 드라이브를 타고 건물 뒤쪽으로 진입하십시오. 밤에 도착하면 다소 어두울 것입니다. 그러나 마지막 건물 뒤로 좌회전하면 스포트 라이트가 주차 조명을 켜게됩니다. Treehouse는 조명이 좋지만 도시 사람들은 더 많은 것을 기대하기 때문에 작은 손전등을 가져 오는 것은 좋지 않습니다. 체크인 :",숙박 날짜: 2017년 12월
Kona Sugar Shack,Anton G,5.0,완벽하게 탈출하여 내 결혼 생활을 구했다.,"아내와 나는 스트레스를 받고 있었고 직장에서 문제가 있었지만 우리는 서로에게 신선한 것을 함께 시작 하자고 이야기했습니다. 우리는이 장소를 온라인으로 발견했고 떠나는 것을 결심 시켰습니다. 그리고 이것은 바로 바른 장소였습니다. 낙원의 한가운데에 그것이 가볍게 두드려 졌을뿐만 아니라, 우리는 새로 고침을하고 긴장을 풀 필요가있는 탈출감을주었습니다. 미학에 관한 모든 것이 너무 좋지 않고 편안하고 멋져서 답답 했어요. 수영장에서 수영? 문제 없어! 우산 아래의 식사는 우리에게 tacky 관광객 끈적 거림없이 행락지에있는 것에 대한 상쾌한 감각을 줬다. 모든 것이 옳았습니다. 당신이 진짜 휴가를 가고 싶다면, 진짜 휴가처럼 느껴 져야합니다. 나는이 장소를 충분히 추천 할 수 없다. 우리의 스트레스는 사라지고 평온함은 우리와 함께합니다. 이 장소는 우리가 다시 사랑에 빠지게 만들었습니다. 그것은 당신이 당신의 인생에서 필요로하는 것과 정확히 일치 할 수 있습니다. 그건 나와 캐롤에게 확실한거야. 새로운 위치는 얼마나 많은 스트레스 요인이 실제로 중요하지 않은지를 깨닫게하고 실제로하는 일에 집중할 수있게합니다. 인생을 바꿀 휴가, 우리는 확실히 돌아오고 있습니다. 우리가 거기로 이동할 수 있으면 좋겠어! 열대 식물, 느린 저녁, 활기찬 에너지, 모든 것이 옳았습니다.",숙박 날짜: 2017년 10월
Kona Sugar Shack,buffsrule2018,5.0,저희는 환상적인 시간을 보냈습니다.,"우리는 가족 지난달 수집 즐거웠습니다. 아름다운 건물, 바로 건너편에 해변이 있어서 좋았다. 속성이 다른 객실은 다른 항목을 작은 세그먼트, 큰. 어른과 일부 다른 공간에 있었다. 부엌에서 큰 라나이 아름다운 바다 및 일몰 저녁식사를 위해 가족들에게 딱. 아이들은 파도를 뛰고 다시 수영을 하고 오는 좋아했습니다. 정말 건너야 해변으로 쉽게. 합니다 근처에 꽤 스노클링 훌륭한 하드웨어 저장합니다. 우리는 1주일 동안 속성 몇 가지 문제를 했는데 주인이 매우 친절하고 우리의 문제를 응답하지 빨랐다. 위치는 여러 자동차 쉽게 오프 거리 주차 환상적인. 번화가 낮 동안 운전 차를 집 앞에 있으며, 건물 벽에 앉아 실제로 수영장 옆에 때 자동차 수는 없다. 바닷가 바로. 정원에서 열대 과일 및 다른 아름다운 화초들이 있습니다. 또한 커피 농장 투어 관광입니다. 재미있는 주인, 설정한 즐겼습니다.",숙박 날짜: 2018년 6월
